date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:25	136398/136398	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2013:28:01%20GMT	https://www.stjohns.excalibur.org.uk/	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/index.html	(from )
14:27:25	294/294	---MCZ	200	added ('OK')	text/plain	etag:W/%2265084e1c-6e9%22	https://www.stjohns.excalibur.org.uk/robots.txt		(from )
14:27:25	4774/4774	---M--	200	added ('OK')	image/png	etag:%225d2464f1-12a6%22	https://www.stjohns.excalibur.org.uk/apple-touch-icon.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/apple-touch-icon.png	(from https://www.stjohns.excalibur.org.uk/)
14:27:25	1513/1513	---M--	200	added ('OK')	image/png	etag:%225d2464f1-5e9%22	https://www.stjohns.excalibur.org.uk/favicon-32x32.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/favicon-32x32.png	(from https://www.stjohns.excalibur.org.uk/)
14:27:26	1060/1060	---M--	200	added ('OK')	image/png	etag:%225d2464f1-424%22	https://www.stjohns.excalibur.org.uk/favicon-16x16.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/favicon-16x16.png	(from https://www.stjohns.excalibur.org.uk/)
14:27:26	287/287	---M--	200	added ('OK')	text/html	etag:%2211f-58d3c954da080%22	https://www.stjohns.excalibur.org.uk/site.webmanifest	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/site.html	(from https://www.stjohns.excalibur.org.uk/)
14:27:27	116363/116363	---MCZ	200	added ('OK')	text/css	etag:W/%2267ff6815-1c68b%22	https://www.stjohns.excalibur.org.uk/wp-includes/css/dist/block-library/style.min.css	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-includes/css/dist/block-library/style.min.css	(from https://www.stjohns.excalibur.org.uk/)
14:27:27	1961/1961	---MCZ	200	added ('OK')	text/css	etag:W/%22681b45e0-7a9%22	https://www.stjohns.excalibur.org.uk/wp-content/plugins/News%20Ticker/css/styles.css	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/plugins/News%20Ticker/css/styles.css	(from https://www.stjohns.excalibur.org.uk/)
14:27:27	33049/33049	---MC-	200	added ('OK')	application/rss+xml	etag:%22269422e039bf51925be1e93adfe3c5cd%22	https://www.stjohns.excalibur.org.uk/feed/	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/feed/index.html	(from https://www.stjohns.excalibur.org.uk/)
14:27:27	5064/5064	---MCZ	200	added ('OK')	text/css	etag:W/%2267e57ecb-13c8%22	https://www.stjohns.excalibur.org.uk/wp-content/plugins/cookie-notice/css/front.min.css	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/plugins/cookie-notice/css/front.min.css	(from https://www.stjohns.excalibur.org.uk/)
14:27:27	738/738	---M--	200	added ('OK')	application/rss+xml	etag:%22269422e039bf51925be1e93adfe3c5cd%22	https://www.stjohns.excalibur.org.uk/comments/feed/	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/comments/feed/index.html	(from https://www.stjohns.excalibur.org.uk/)
14:27:27	44149/44149	---MCZ	200	added ('OK')	text/css	etag:W/%2267b614ae-ac75%22	https://www.stjohns.excalibur.org.uk/wp-content/plugins/custom-twitter-feeds-pro/css/ctf-styles.min.css	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/plugins/custom-twitter-feeds-pro/css/ctf-styles.min.css	(from https://www.stjohns.excalibur.org.uk/)
14:27:27	1414/1414	---MCZ	200	added ('OK')	text/css	etag:W/%22682af693-586%22	https://www.stjohns.excalibur.org.uk/wp-content/plugins/wp-slick-slider-and-image-carousel/assets/css/wpos-slick-style.min.css	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/plugins/wp-slick-slider-and-image-carousel/assets/css/wpos-slick-style.min.css	(from https://www.stjohns.excalibur.org.uk/)
14:27:28	11620/11620	---MCZ	200	added ('OK')	text/css	etag:W/%22682af693-2d64%22	https://www.stjohns.excalibur.org.uk/wp-content/plugins/wp-slick-slider-and-image-carousel/assets/css/wpsisac-public-style.min.css	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/plugins/wp-slick-slider-and-image-carousel/assets/css/wpsisac-public-style.min.css	(from https://www.stjohns.excalibur.org.uk/)
14:27:28	27120/27120	---MCZ	200	added ('OK')	text/css	etag:W/%22682af692-69f0%22	https://www.stjohns.excalibur.org.uk/wp-content/plugins/ics-calendar/assets/style.min.css	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/plugins/ics-calendar/assets/style.min.css	(from https://www.stjohns.excalibur.org.uk/)
14:27:28	719/719	---M--	200	added ('OK')	application/rss+xml	etag:%22269422e039bf51925be1e93adfe3c5cd%22	https://www.stjohns.excalibur.org.uk/sample-page/feed/	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/sample-page/feed/index.html	(from https://www.stjohns.excalibur.org.uk/)
14:27:28	1065/1065	---MCZ	200	added ('OK')	text/css	etag:W/%226812a659-429%22	https://www.stjohns.excalibur.org.uk/wp-content/plugins/boxzilla/assets/css/boxzilla.min.css	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/plugins/boxzilla/assets/css/boxzilla.min.css	(from https://www.stjohns.excalibur.org.uk/)
14:27:28	5491/5491	---MCZ	200	added ('OK')	text/css	etag:W/%22682487df-1573%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/porto_styles/porto-css-vars.min.css	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/porto_styles/porto-css-vars.min.css	(from https://www.stjohns.excalibur.org.uk/)
14:27:29	459484/459484	---MCZ	200	added ('OK')	text/css	etag:W/%2268075e2e-702dc%22	https://www.stjohns.excalibur.org.uk/wp-content/plugins/js_composer/assets/css/js_composer.min.css	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/plugins/js_composer/assets/css/js_composer.min.css	(from https://www.stjohns.excalibur.org.uk/)
14:27:29	111802/111802	---MCZ	200	added ('OK')	text/css	etag:W/%22682487e0-1b4ba%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/porto_styles/bootstrap.min.css	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/porto_styles/bootstrap.min.css	(from https://www.stjohns.excalibur.org.uk/)
14:27:29	69935/69935	---MCZ	200	added ('OK')	text/css	etag:W/%22682487d9-1112f%22	https://www.stjohns.excalibur.org.uk/wp-content/themes/porto/css/porto-plugins.min.css	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/themes/porto/css/porto-plugins.min.css	(from https://www.stjohns.excalibur.org.uk/)
14:27:29	206575/206575	---MCZ	200	added ('OK')	text/css	etag:W/%22682487d9-326ef%22	https://www.stjohns.excalibur.org.uk/wp-content/themes/porto/css/porto-theme.min.css	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/themes/porto/css/porto-theme.min.css	(from https://www.stjohns.excalibur.org.uk/)
